Customer_ID,Loyalty_Tier,Points_Earned,Points_Redeemed
C001,Elite,3373,216
C002,Premium,1651,1286
C003,Premium,2945,452
C004,Basic,2456,664
C005,Plus,3427,575
C006,Plus,962,2027
C007,Premium,2274,3228
C008,Elite,2545,719
C009,Basic,1307,2060
C010,Elite,686,289
C011,Premium,2243,919
C012,Premium,1231,3051
C013,Basic,2435,3043
C014,Basic,1713,829
C015,Plus,1911,2084
C016,Premium,928,3446
C017,Basic,3405,275
C018,Plus,1807,1125
C019,Elite,2784,2647
C020,Premium,1717,2005
C021,Elite,1810,1169
C022,Plus,1270,1294
C023,Plus,1257,2228
C024,Premium,635,3451
C025,Plus,1291,3395
C026,Basic,670,1604
C027,Basic,2706,3044
C028,Plus,2748,394
C029,Basic,2080,427
C030,Plus,1461,1659
C031,Basic,3130,660
C032,Basic,1375,817
C033,Premium,2918,3292
C034,Plus,602,263
C035,Premium,1501,2412
C036,Basic,1648,2274
C037,Basic,3884,3259
C038,Premium,3523,484
C039,Plus,3345,1883
C040,Plus,1981,2528
C041,Plus,3801,1037
C042,Elite,1157,1030
C043,Plus,3429,1387
C044,Plus,1720,3165
C045,Premium,3280,423
C046,Plus,922,983
C047,Plus,3119,3417
C048,Plus,670,3212
C049,Premium,3953,1149
C050,Basic,2720,3301
C051,Basic,3210,244
C052,Plus,952,2010
C053,Premium,2897,670
C054,Basic,2475,2281
C055,Elite,2157,2900
C056,Plus,3041,1029
C057,Elite,3167,2109
C058,Elite,3575,2468
C059,Plus,3664,2091
C060,Basic,3466,2781
C061,Basic,2553,891
C062,Basic,787,1590
C063,Premium,2141,1131
C064,Basic,3717,1040
C065,Plus,1947,3258
C066,Plus,2413,2138
C067,Elite,1107,1773
C068,Basic,956,2829
C069,Basic,2264,3387
C070,Basic,1725,2486
C071,Elite,1735,2688
C072,Premium,1529,347
C073,Basic,3171,1232
C074,Basic,2923,1511
C075,Basic,946,587
C076,Basic,1334,3321
C077,Elite,3677,2073
C078,Premium,1310,1115
C079,Plus,1924,2078
C080,Elite,3667,2885
C081,Basic,1911,477
C082,Premium,1458,2177
C083,Elite,1975,2059
C084,Plus,3396,3236
C085,Premium,1308,2025
C086,Basic,1478,2836
C087,Basic,2963,2033
C088,Basic,1225,2896
C089,Plus,3001,817
C090,Premium,3862,1830
C091,Elite,1716,2382
C092,Premium,2697,779
C093,Elite,2403,1370
C094,Premium,3306,689
C095,Basic,1278,2725
C096,Plus,1472,1382
C097,Basic,3310,583
C098,Premium,3549,362
C099,Elite,2038,2688
C100,Basic,1916,2076
C101,Premium,3887,1412
C102,Premium,2623,2662
C103,Plus,1098,1562
C104,Plus,3841,1830
C105,Plus,724,1404
C106,Basic,2053,487
C107,Basic,2660,2057
C108,Basic,2798,386
C109,Plus,3804,2107
C110,Basic,1340,1361
C111,Elite,2314,329
C112,Plus,1213,2441
C113,Premium,1606,2563
C114,Plus,624,2087
C115,Plus,3746,343
C116,Elite,1592,215
C117,Basic,3618,2670
C118,Basic,3431,444
C119,Premium,1779,1126
C120,Basic,2250,3378
C121,Basic,529,3359
C122,Plus,2828,2376
C123,Basic,3471,1106
C124,Plus,2517,1086
C125,Basic,3808,540
C126,Elite,3819,2251
C127,Premium,2915,1633
C128,Premium,994,505
C129,Premium,3596,1107
C130,Elite,2109,2854
C131,Basic,1217,3496
C132,Elite,1516,1571
C133,Premium,1837,3239
C134,Premium,1105,520
C135,Plus,874,758
C136,Basic,3186,1404
C137,Plus,2460,2865
C138,Premium,1548,2958
C139,Basic,1857,1609
C140,Premium,3926,1841
C141,Basic,615,1331
C142,Basic,2595,2778
C143,Basic,2301,2657
C144,Basic,2646,1017
C145,Plus,1982,1394
C146,Basic,2046,2740
C147,Elite,2120,3466
C148,Plus,2952,211
C149,Basic,3785,394
C150,Premium,1184,2737
C151,Elite,3450,3042
C152,Premium,3050,3128
C153,Basic,1971,2429
C154,Elite,3441,3209
C155,Premium,2099,855
C156,Basic,2805,2121
C157,Basic,3391,2941
C158,Plus,2668,2277
C159,Basic,1309,1819
C160,Premium,1477,1319
C161,Plus,2601,977
C162,Elite,3566,643
C163,Plus,1854,497
C164,Basic,1283,1007
C165,Basic,740,1960
C166,Plus,2278,1044
C167,Premium,2053,1215
C168,Premium,982,1584
C169,Basic,1512,1597
C170,Basic,686,753
C171,Basic,2381,2550
C172,Premium,3203,620
C173,Basic,2809,1469
C174,Plus,1452,1460
C175,Premium,1887,384
C176,Elite,990,667
C177,Plus,930,3001
C178,Basic,738,2610
C179,Premium,2851,1506
C180,Premium,2845,1776
C181,Plus,575,535
C182,Elite,1856,2409
C183,Premium,2423,3431
C184,Basic,3546,1697
C185,Basic,2281,2259
C186,Plus,3189,1647
C187,Premium,1326,3344
C188,Basic,2830,787
C189,Premium,1090,2081
C190,Premium,2619,400
C191,Basic,3834,721
C192,Premium,3250,2087
C193,Elite,2402,2752
C194,Basic,2410,1911
C195,Plus,1074,987
C196,Plus,3547,3310
C197,Elite,1391,259
C198,Elite,2559,777
C199,Plus,640,520
C200,Premium,2289,1658
